product_id,title,product_description,rating,ratings_count,initial_price,discount,currency,delivery_options,product_details,seller_name,category,total_amount_to_be_paid
13355452,Rangriti,Women Coral Pink & White Liva Checked A-Line Dress With Belt,4.4,33,1299,35.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Coral pink and White checked woven A-line dress, has a round neck, short sleeves, and flounce hemComes with a thread belt"",""material_and_care"":""Liva. Machine Wash"",""size_and_fit"":""Regular Fit. The model (height 5'8\"") is wearing a size S""}",Sup███om ███,ethnic-dresses,844.35
13405888,Saanjh,Women Green Printed Fit and Flare Dress,4.0,7,1969,62.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Green printed knitted fit and flare dress, has a round neck, three-quarter sleeves, and flared hem"",""material_and_care"":""Material: Silk.   Dry Clean"",""size_and_fit"":""Semi-Fit. The model (height 5'8\"") is wearing a size S""}",SHA███ RE███LS,ethnic-dresses,748.22
22603284,JAIPURI COLLECTION,Ethnic Motifs Printed Maxi Ethnic Dress,3.9,10,2899,71.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges""]","{""description"":""Colour: navy blue & gold tonedEthnic motifs printedRound neckThree-quarter, regular sleevesMaxi shape Maxi length with flared hemMachine weave regular viscose rayon"",""material_and_care"":""Viscose Rayon. Hand Wash"",""size_and_fit"":"".  The model (height 5'8) is wearing a size S""}",Jai███i C███ect██████,ethnic-dresses,840.71
22583702,Mialo fashion,Ethnic Printed Kaftan Dress,2.7,9,2999,78.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 7 days returns and exchanges""]","{""description"":""Brown and beige kaftan dress, ethnic printed, has batwing short sleeves, has midi length"",""material_and_care"":""100% Viscose rayon. Machine wash"",""size_and_fit"":""The model (height 5'8) is wearing a size M""}",MIA███FAS███N,ethnic-dresses,659.7799999999997
15787112,Mamaearth,Oil-Free Face Moisturizer With Turmeric & Saffron For Skin Brightening  - 80 ml,4.3,903,319,12.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days exchanges"",""This item is only exchangeable for the same or a different size, if available, and cannot be returned""]","{""description"":""Ubtan Oil-Free Face Moisturizer With Turmeric & Saffron For Skin Brightening  - 80 ml""}",Hon███ Co███mer█████████Lim██████,face-moisturisers,280.72
10075857,Organic Harvest,Spot Reduction Face Cream with Kakadu Plum & Almonds Extracts,3.7,9,845,20.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days exchanges"",""This item is only exchangeable for the same or a different size, if available, and cannot be returned""]","{""description"":""Spot Reduction Face Cream with Kakadu Plum, Acai Berry & Almonds Extracts""}",SYS███ OR███IC █████████JIT███,face-moisturisers,676.0
12926546,natural vibes,Unisex Ayurvedic Teatree Facewash 150ml,4.8,9,449,5.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days exchanges"",""This item is only exchangeable for the same or a different size, if available, and cannot be returned""]","{""description"":""natural vibes Unisex Ayurvedic Teatree Facewash 150mlNatural Vibes Tea Tree Face Wash is formulated with powerful ayurvedic ingredients like Tea Tree, Aloe Vera and NeemOur Tea Tree face wash not only works wonders in reducing acne and blemishes but it also protects your skin from further outburstsNatural Vibes Face Wash will draw out and trap dirt and impurities from clogged pores leaving you with deeply cleansed, tingly smooth skin."",""material_and_care"":""Ingredients - Aloe Vera Extract, Neem Extract, Tea Tree Oil""}",TRA███LA ███OM █████████,face-wash-and-cleanser,426.55
18299664,Bata,Women Black Open Toe Flats,3.8,75,1199,20.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of black open toe flats  Upper Material: pu  Cushioned footbed  Textured and patterned outsole "",""material_and_care"":""Wipe with clean and dry cloth to remove dust""}",Bat███ndi███imi█████████),flats,959.2
19974396,FORVELA,Women Black Open Toe Flats,3.9,46,999,55.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of black open toe flats  Upper Material: synthetic  Cushioned footbed  Textured and patterned outsole "",""material_and_care"":""Wipe with dry cloth to remove dust.""}",RAJ███OOT███AR,flats,449.54999999999995
16704788,Birkenstock,Unisex Regular Width Glamour Gold Gizeh Essentials Slide Sandals,4.5,12,4990,56.0,INR,"[""100% Original Products"",""Pay on delivery is not available"",""Easy 7 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""The Gizeh - a modern thong sandal from BIRKENSTOCK. This version made from ultra light and highly flexible EVA. These sandals are shock absorbing, waterproof, and skin-friendly. Wear them at the beach, in the garden, or around the gym and after workouts. It's the perfect addition to your classic BIRKENSTOCK sandals.A pair of t-strap flatsUpper Material: syntheticCushioned footbedTextured and patterned outsoleCollection name: Gizeh EssentialsWidth: Regular"",""material_and_care"":""Synthetic. - Depending on the degree of soiling, wipe with a dry or damp lint-free cloth.. -&nbsp;No shoe polish is necessary.""}",Net███str███tio█████████s P█████████,flats,2195.6
21888172,Brauch,Embellished Pointed Toe Ballerinas,4.0,10,1499,60.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of olive green embellished ballerinasUpper Material: syntheticCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand owner/manufacturer"",""material_and_care"":""Synthetic. Wipe with a clean and dry cloth to remove dust""}",Bra███ En███pri██████,flats,599.6
21735080,Birkenstock,Women Gizeh Regular Width T-Strap Flats,4.5,11,6990,56.0,INR,"[""100% Original Products"",""Pay on delivery is not available"",""Easy 7 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Product Story:The BIRKENSTOCK Gizeh is a genuine classic that combines optimum grip with minimalist, fashionable design.This sandal was reinterpreted in an extravagant electric metallic look.The reflective film makes this classic model dazzle and is sure to make any outfit turn heads.The upper is made from the skin-friendly, hard-wearing synthetic material Birko-FloraFeatures:Skin-friendly Birko-FlorAnatomically shaped cork-latex footbedProduct design details:       A pair of t-strap flats,has regular stylingAnatomically shaped cork-latex footbedUpper: Birko-FloraFootbed lining: suedeSole: EVADetails: thong with an individually adjustable metal tongue buckleMade in Germany"",""material_and_care"":""Synthetic&nbsp;. Wipe with clean and dry cloth to remove dust""}",Net███str███tio█████████s P█████████,flats,3075.5999999999995
